name,animation_exists
codepen-AGomeO-dypvKvR,False
codepen-AGomeO-jravZG,False
codepen-AGomeO-xGwybB,True
codepen-AGomeO-zxypvL,True
codepen-AvEZRv-mdzXpap,True
codepen-DbqLwL-BxPgRB,True
codepen-DrPkOq-ExKzwwX,True
codepen-DrPkOq-LYLYOYe,True
codepen-DrPkOq-MWWvRRR,True
codepen-DrPkOq-dyGdvmO,True
codepen-DrPkOq-dyPorwJ,True
codepen-DrPkOq-jOWMGON,True
codepen-DrPkOq-mdPjLGm,True
codepen-DrPkOq-poyOMgr-1,True
codepen-DrPkOq-poyOMgr-2,False
codepen-DrPkOq-poyOMgr-3,True
codepen-DrPkOq-poyOMgr-4,False
codepen-DrPkOq-vYKVwgr,True
codepen-DrPkOq-yLJJzOB,False
codepen-DrqyeW-BNKJme,True
codepen-XoYpMj-BmYGON,True
codepen-XoYpMj-GRgqQqw,True
codepen-XoYpMj-Jpwwxq-1,True
codepen-XoYpMj-Jpwwxq-2,True
codepen-XoYpMj-Jpwwxq-3,True
codepen-XoYpMj-Jpwwxq-4,False
codepen-XoYpMj-Jpwwxq-5,True
codepen-XoYpMj-Jpwwxq-6,False
codepen-XoYpMj-Jpwwxq-7,True
codepen-XoYpMj-Jpwwxq-8,True
codepen-XoYpMj-Jpwwxq-9,True
codepen-XoYpMj-MWyBKBR,False
codepen-XoYpMj-OGwmOV,True
codepen-XoYpMj-PgpWPO,True
codepen-XoYpMj-RLzzaz,False
codepen-XoYpMj-VrOoKB,True
codepen-XoYpMj-WXyRJB,False
codepen-XoYpMj-YxPQyJ,True
codepen-XoYpMj-YzZwQJO,False
codepen-XoYpMj-ZwQzOr,True
codepen-XoYpMj-bGEVErE,False
codepen-XoYpMj-bGezNrW,False
codepen-XoYpMj-dVEMQL,False
codepen-XoYpMj-dVzEwd,True
codepen-XoYpMj-eerWPq,False
codepen-XoYpMj-eobqyj,False
codepen-XoYpMj-gGYPwy,True
codepen-XoYpMj-goJmRm,True
codepen-XoYpMj-jzpgWP,True
codepen-XoYpMj-mzRvVO,True
codepen-XoYpMj-oGgbaq,True
codepen-XoYpMj-oavbzK,True
codepen-XoYpMj-rZjYvX,False
codepen-XoYpMj-xxbNrYd,True
codepen-XoYpMj-yEeRVO,True
codepen-XoYpMj-yLMYqmb,True
codepen-XoYpMj-yoPYpr,True
codepen-XoYpMj-zdQqYO,True
codepen-XzxeNJ-rVvxRE,False
codepen-Xzxwvg-vOKgey,False
codepen-bNVaaq-GNjwvE,True
codepen-bNVaaq-LKgpOr,True
codepen-bNVaaq-aZrKdV,False
codepen-bNVaaq-awbZPV,False
codepen-bNVaaq-eRZZEv,True
codepen-bNVaaq-kNEmxz,True
codepen-eJgpgP-MWrybQN,True
codepen-eJgpgP-NWXNbBo,True
codepen-nMvkWD-eYNMLr,False
codepen-wkoYjm-LYpzqZW,True
codepen-wkoYjm-PoeMRWq,False
codepen-wkoYjm-YQQwgR,True
codepen-zaXqRn-AGOVrM-1,True
codepen-zaXqRn-AGOVrM-2,True
codepen-zaXqRn-AGOVrM-3,True
codepen-zaXqRn-AGOVrM-4,True
codepen-zaXqRn-AGOVrM-5,True
codepen-zaXqRn-AGOVrM-6,True
codepen-zaXqRn-AXVvNw,True
codepen-zaXqRn-BajROO-1,True
codepen-zaXqRn-BajROO-2,True
codepen-zaXqRn-BajROO-4,True
codepen-zaXqRn-BajROO-5,True
codepen-zaXqRn-BajROO-6,False
codepen-zaXqRn-DJGQgb-1,True
codepen-zaXqRn-DJGQgb-2,True
codepen-zaXqRn-DJGQgb-3,True
codepen-zaXqRn-DJGQgb-4,True
codepen-zaXqRn-DJGQgb-5,True
codepen-zaXqRn-DJGQgb-6,True
codepen-zaXqRn-DJGQgb-7,True
codepen-zaXqRn-DJGQgb-8,True
codepen-zaXqRn-DJGQgb-9,True
codepen-zaXqRn-DRmgQk-1,True
codepen-zaXqRn-DRmgQk-2,True
codepen-zaXqRn-DRmgQk-3,True
codepen-zaXqRn-DRmgQk-4,True
codepen-zaXqRn-DRmgQk-5,True
codepen-zaXqRn-DRmgQk-6,True
codepen-zaXqRn-DRmgQk-7,True
codepen-zaXqRn-DeVjvG-1,True
codepen-zaXqRn-DeVjvG-2,True
codepen-zaXqRn-DeVjvG-3,True
codepen-zaXqRn-DeVjvG-4,True
codepen-zaXqRn-GJpxoQ-1,True
codepen-zaXqRn-GJpxoQ-10,True
codepen-zaXqRn-GJpxoQ-2,True
codepen-zaXqRn-GJpxoQ-3,True
codepen-zaXqRn-GJpxoQ-4,True
codepen-zaXqRn-GJpxoQ-5,True
codepen-zaXqRn-GJpxoQ-6,True
codepen-zaXqRn-GJpxoQ-7,True
codepen-zaXqRn-GJpxoQ-8,True
codepen-zaXqRn-GJpxoQ-9,True
codepen-zaXqRn-GgNMor,True
codepen-zaXqRn-GppXPM-1,True
codepen-zaXqRn-GppXPM-2,True
codepen-zaXqRn-GppXPM-3,True
codepen-zaXqRn-GppXPM-4,True
codepen-zaXqRn-KKqeyj-1,False
codepen-zaXqRn-KKqeyj-2,True
codepen-zaXqRn-KKqeyj-3,True
codepen-zaXqRn-KKqeyj-4,False
codepen-zaXqRn-LExXWW,True
codepen-zaXqRn-OyJwQx,True
codepen-zaXqRn-ZEJxpO-1,True
codepen-zaXqRn-ZEJxpO-2,True
codepen-zaXqRn-ZEJxpO-3,True
codepen-zaXqRn-ZEJxpO-4,True
codepen-zaXqRn-ZEJxpO-5,True
codepen-zaXqRn-ZEJxpO-6,True
codepen-zaXqRn-ZEJxpO-7,True
codepen-zaXqRn-ZEJxpO-8,True
codepen-zaXqRn-bNpeGE-1,True
codepen-zaXqRn-bNpeGE-2,True
codepen-zaXqRn-bNpeGE-3,True
codepen-zaXqRn-bNpeGE-4,True
codepen-zaXqRn-bNpeGE-5,True
codepen-zaXqRn-bNwObp-1,True
codepen-zaXqRn-bNwObp-2,True
codepen-zaXqRn-bNwObp-3,True
codepen-zaXqRn-bNwObp-4,True
codepen-zaXqRn-bNwObp-5,True
codepen-zaXqRn-bNwObp-6,True
codepen-zaXqRn-bVQJeV,True
codepen-zaXqRn-emEKyW-1,False
codepen-zaXqRn-emEKyW-2,False
codepen-zaXqRn-emEKyW-3,True
codepen-zaXqRn-jOqBOr-1,True
codepen-zaXqRn-jOqBOr-2,True
codepen-zaXqRn-jOqBOr-3,True
codepen-zaXqRn-jOqBOr-4,True
codepen-zaXqRn-jOqBOr-5,True
codepen-zaXqRn-jOqBOr-6,True
codepen-zaXqRn-jOqBOr-7,True
codepen-zaXqRn-jOqBOr-8,True
codepen-zaXqRn-jOqBOr-9,True
codepen-zaXqRn-kOeKKy-1,True
codepen-zaXqRn-kOeKKy-10,True
codepen-zaXqRn-kOeKKy-11,True
codepen-zaXqRn-kOeKKy-12,True
codepen-zaXqRn-kOeKKy-2,True
codepen-zaXqRn-kOeKKy-3,True
codepen-zaXqRn-kOeKKy-4,True
codepen-zaXqRn-kOeKKy-5,True
codepen-zaXqRn-kOeKKy-6,True
codepen-zaXqRn-kOeKKy-7,True
codepen-zaXqRn-kOeKKy-8,True
codepen-zaXqRn-kOeKKy-9,True
codepen-zaXqRn-kawJWE,False
codepen-zaXqRn-mdrLag-1,True
codepen-zaXqRn-mdrLag-10,True
codepen-zaXqRn-mdrLag-2,True
codepen-zaXqRn-mdrLag-3,True
codepen-zaXqRn-mdrLag-4,False
codepen-zaXqRn-mdrLag-5,True
codepen-zaXqRn-mdrLag-6,True
codepen-zaXqRn-mdrLag-7,True
codepen-zaXqRn-mdrLag-8,True
codepen-zaXqRn-mdrLag-9,True
codepen-zaXqRn-nBQmJj,True
codepen-zaXqRn-ndxGJq-1,True
codepen-zaXqRn-ndxGJq-2,True
codepen-zaXqRn-ndxGJq-3,True
codepen-zaXqRn-ndxGJq-4,True
codepen-zaXqRn-ndxGJq-5,True
codepen-zaXqRn-ndxGJq-6,True
codepen-zaXqRn-nmvyPO,True
codepen-zaXqRn-nwpKrg-1,True
codepen-zaXqRn-nwpKrg-2,True
codepen-zaXqRn-nwpKrg-3,True
codepen-zaXqRn-nwpKrg-4,True
codepen-zaXqRn-nwpKrg-5,True
codepen-zaXqRn-vYVLeB-1,True
codepen-zaXqRn-vYVLeB-10,True
codepen-zaXqRn-vYVLeB-11,True
codepen-zaXqRn-vYVLeB-2,True
codepen-zaXqRn-vYVLeB-3,True
