name,model1_name,model2_name,model1_path,model2_path,ground_truth_path
codepen-AGomeO-dypvKvR,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-dypvKvR/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-AGomeO-dypvKvR/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-dypvKvR.mp4
codepen-AGomeO-jravZG,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-jravZG/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-AGomeO-jravZG/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-jravZG.mp4
codepen-AGomeO-xGwybB,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-xGwybB/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-AGomeO-xGwybB/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-xGwybB.mp4
codepen-AGomeO-zxypvL,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-zxypvL/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-AGomeO-zxypvL/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-zxypvL.mp4
codepen-AvEZRv-mdzXpap,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AvEZRv-mdzXpap/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-AvEZRv-mdzXpap/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AvEZRv-mdzXpap.mp4
codepen-DbqLwL-BxPgRB,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DbqLwL-BxPgRB/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DbqLwL-BxPgRB/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DbqLwL-BxPgRB.mp4
codepen-DrPkOq-ExKzwwX,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-ExKzwwX/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-ExKzwwX/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-ExKzwwX.mp4
codepen-DrPkOq-LYLYOYe,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-LYLYOYe/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-LYLYOYe/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-LYLYOYe.mp4
codepen-DrPkOq-MWWvRRR,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-MWWvRRR/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-MWWvRRR/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-MWWvRRR.mp4
codepen-DrPkOq-dyGdvmO,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-dyGdvmO/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-dyGdvmO/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-dyGdvmO.mp4
codepen-DrPkOq-dyPorwJ,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-dyPorwJ/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-dyPorwJ/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-dyPorwJ.mp4
codepen-DrPkOq-jOWMGON,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-jOWMGON/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-jOWMGON/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-jOWMGON.mp4
codepen-DrPkOq-mdPjLGm,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-mdPjLGm/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-mdPjLGm/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-mdPjLGm.mp4
codepen-DrPkOq-poyOMgr-1,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-poyOMgr-1/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-poyOMgr-1/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-1.mp4
codepen-DrPkOq-poyOMgr-2,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-poyOMgr-2/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-poyOMgr-2/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-2.mp4
codepen-DrPkOq-poyOMgr-3,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-poyOMgr-3/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-poyOMgr-3/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-3.mp4
codepen-DrPkOq-poyOMgr-4,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-poyOMgr-4/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-poyOMgr-4/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-4.mp4
codepen-DrPkOq-vYKVwgr,gemini,gpt,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-vYKVwgr/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gpt/20260422_003253_2fps/codepen-DrPkOq-vYKVwgr/animation.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-vYKVwgr.mp4
