name,animation_exists
codepen-AGomeO-dypvKvR,True
codepen-AGomeO-jravZG,True
codepen-AGomeO-xGwybB,True
codepen-AGomeO-zxypvL,True
codepen-AvEZRv-mdzXpap,True
codepen-DbqLwL-BxPgRB,True
codepen-DrPkOq-ExKzwwX,True
codepen-DrPkOq-LYLYOYe,True
codepen-DrPkOq-MWWvRRR,True
codepen-DrPkOq-dyGdvmO,True
codepen-DrPkOq-dyPorwJ,True
codepen-DrPkOq-jOWMGON,True
codepen-DrPkOq-mdPjLGm,True
codepen-DrPkOq-poyOMgr-1,True
codepen-DrPkOq-poyOMgr-2,True
codepen-DrPkOq-poyOMgr-3,True
codepen-DrPkOq-poyOMgr-4,True
codepen-DrPkOq-vYKVwgr,True
codepen-DrPkOq-yLJJzOB,True
codepen-DrqyeW-BNKJme,True
codepen-XoYpMj-BmYGON,True
codepen-XoYpMj-GRgqQqw,True
codepen-XoYpMj-Jpwwxq-1,True
codepen-XoYpMj-Jpwwxq-2,True
codepen-XoYpMj-Jpwwxq-3,True
codepen-XoYpMj-Jpwwxq-4,True
codepen-XoYpMj-Jpwwxq-5,True
codepen-XoYpMj-Jpwwxq-6,True
codepen-XoYpMj-Jpwwxq-7,True
codepen-XoYpMj-Jpwwxq-8,True
codepen-XoYpMj-Jpwwxq-9,True
codepen-XoYpMj-MWyBKBR,True
codepen-XoYpMj-OGwmOV,True
codepen-XoYpMj-PgpWPO,True
codepen-XoYpMj-RLzzaz,True
codepen-XoYpMj-VrOoKB,True
codepen-XoYpMj-WXyRJB,True
codepen-XoYpMj-YxPQyJ,True
codepen-XoYpMj-YzZwQJO,True
codepen-XoYpMj-ZwQzOr,True
codepen-XoYpMj-bGEVErE,True
codepen-XoYpMj-bGezNrW,True
codepen-XoYpMj-dVEMQL,True
codepen-XoYpMj-dVzEwd,False
codepen-XoYpMj-eerWPq,True
codepen-XoYpMj-eobqyj,True
codepen-XoYpMj-gGYPwy,True
codepen-XoYpMj-goJmRm,True
codepen-XoYpMj-jzpgWP,True
codepen-XoYpMj-mzRvVO,False
codepen-XoYpMj-oGgbaq,True
codepen-XoYpMj-oavbzK,True
codepen-XoYpMj-rZjYvX,True
codepen-XoYpMj-xxbNrYd,True
codepen-XoYpMj-yEeRVO,True
codepen-XoYpMj-yLMYqmb,True
codepen-XoYpMj-yoPYpr,True
codepen-XoYpMj-zdQqYO,True
codepen-XzxeNJ-rVvxRE,True
codepen-Xzxwvg-vOKgey,True
codepen-bNVaaq-GNjwvE,True
codepen-bNVaaq-LKgpOr,True
codepen-bNVaaq-aZrKdV,True
codepen-bNVaaq-awbZPV,True
codepen-bNVaaq-eRZZEv,True
codepen-bNVaaq-kNEmxz,True
codepen-eJgpgP-MWrybQN,True
codepen-eJgpgP-NWXNbBo,True
codepen-nMvkWD-eYNMLr,True
codepen-wkoYjm-LYpzqZW,True
codepen-wkoYjm-PoeMRWq,True
codepen-wkoYjm-YQQwgR,True
codepen-zaXqRn-AGOVrM-1,True
codepen-zaXqRn-AGOVrM-2,True
codepen-zaXqRn-AGOVrM-3,True
codepen-zaXqRn-AGOVrM-4,True
codepen-zaXqRn-AGOVrM-5,True
codepen-zaXqRn-AGOVrM-6,True
codepen-zaXqRn-AXVvNw,True
codepen-zaXqRn-BajROO-1,False
codepen-zaXqRn-BajROO-2,True
codepen-zaXqRn-BajROO-4,True
codepen-zaXqRn-BajROO-5,True
codepen-zaXqRn-BajROO-6,True
codepen-zaXqRn-DJGQgb-1,True
codepen-zaXqRn-DJGQgb-2,True
codepen-zaXqRn-DJGQgb-3,True
codepen-zaXqRn-DJGQgb-4,True
codepen-zaXqRn-DJGQgb-5,True
codepen-zaXqRn-DJGQgb-6,True
codepen-zaXqRn-DJGQgb-7,True
codepen-zaXqRn-DJGQgb-8,True
codepen-zaXqRn-DJGQgb-9,True
codepen-zaXqRn-DRmgQk-1,True
codepen-zaXqRn-DRmgQk-2,True
codepen-zaXqRn-DRmgQk-3,True
codepen-zaXqRn-DRmgQk-4,True
codepen-zaXqRn-DRmgQk-5,True
codepen-zaXqRn-DRmgQk-6,True
codepen-zaXqRn-DRmgQk-7,True
codepen-zaXqRn-DeVjvG-1,True
codepen-zaXqRn-DeVjvG-2,True
codepen-zaXqRn-DeVjvG-3,True
codepen-zaXqRn-DeVjvG-4,True
codepen-zaXqRn-GJpxoQ-1,True
codepen-zaXqRn-GJpxoQ-10,True
codepen-zaXqRn-GJpxoQ-2,True
codepen-zaXqRn-GJpxoQ-3,True
codepen-zaXqRn-GJpxoQ-4,True
codepen-zaXqRn-GJpxoQ-5,True
codepen-zaXqRn-GJpxoQ-6,True
codepen-zaXqRn-GJpxoQ-7,True
codepen-zaXqRn-GJpxoQ-8,True
codepen-zaXqRn-GJpxoQ-9,True
codepen-zaXqRn-GgNMor,True
codepen-zaXqRn-GppXPM-1,True
codepen-zaXqRn-GppXPM-2,True
codepen-zaXqRn-GppXPM-3,True
codepen-zaXqRn-GppXPM-4,True
codepen-zaXqRn-KKqeyj-1,True
codepen-zaXqRn-KKqeyj-2,True
codepen-zaXqRn-KKqeyj-3,True
codepen-zaXqRn-KKqeyj-4,True
codepen-zaXqRn-LExXWW,True
codepen-zaXqRn-OyJwQx,True
codepen-zaXqRn-ZEJxpO-1,True
codepen-zaXqRn-ZEJxpO-2,True
codepen-zaXqRn-ZEJxpO-3,True
codepen-zaXqRn-ZEJxpO-4,True
codepen-zaXqRn-ZEJxpO-5,True
codepen-zaXqRn-ZEJxpO-6,True
codepen-zaXqRn-ZEJxpO-7,True
codepen-zaXqRn-ZEJxpO-8,True
codepen-zaXqRn-bNpeGE-1,True
codepen-zaXqRn-bNpeGE-2,True
codepen-zaXqRn-bNpeGE-3,True
codepen-zaXqRn-bNpeGE-4,True
codepen-zaXqRn-bNpeGE-5,True
codepen-zaXqRn-bNwObp-1,True
codepen-zaXqRn-bNwObp-2,True
codepen-zaXqRn-bNwObp-3,True
codepen-zaXqRn-bNwObp-4,False
