name,model1_name,model2_name,model1_path,model2_path,ground_truth_path
codepen-AGomeO-dypvKvR,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-dypvKvR/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-AGomeO-dypvKvR/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-dypvKvR.mp4
codepen-AGomeO-jravZG,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-jravZG/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-AGomeO-jravZG/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-jravZG.mp4
codepen-AGomeO-xGwybB,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-xGwybB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-AGomeO-xGwybB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-xGwybB.mp4
codepen-AGomeO-zxypvL,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-zxypvL/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-AGomeO-zxypvL/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-zxypvL.mp4
codepen-AvEZRv-mdzXpap,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AvEZRv-mdzXpap/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-AvEZRv-mdzXpap/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AvEZRv-mdzXpap.mp4
codepen-DbqLwL-BxPgRB,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DbqLwL-BxPgRB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DbqLwL-BxPgRB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DbqLwL-BxPgRB.mp4
codepen-DrPkOq-ExKzwwX,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-ExKzwwX/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-ExKzwwX/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-ExKzwwX.mp4
codepen-DrPkOq-LYLYOYe,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-LYLYOYe/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-LYLYOYe/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-LYLYOYe.mp4
codepen-DrPkOq-MWWvRRR,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-MWWvRRR/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-MWWvRRR/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-MWWvRRR.mp4
codepen-DrPkOq-dyGdvmO,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-dyGdvmO/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-dyGdvmO/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-dyGdvmO.mp4
codepen-DrPkOq-dyPorwJ,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-dyPorwJ/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-dyPorwJ/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-dyPorwJ.mp4
codepen-DrPkOq-jOWMGON,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-jOWMGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-jOWMGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-jOWMGON.mp4
codepen-DrPkOq-mdPjLGm,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-mdPjLGm/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-mdPjLGm/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-mdPjLGm.mp4
codepen-DrPkOq-poyOMgr-1,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-poyOMgr-1/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-poyOMgr-1/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-1.mp4
codepen-DrPkOq-poyOMgr-2,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-poyOMgr-2/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-poyOMgr-2/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-2.mp4
codepen-DrPkOq-poyOMgr-3,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-poyOMgr-3/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-poyOMgr-3/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-3.mp4
codepen-DrPkOq-poyOMgr-4,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-poyOMgr-4/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-poyOMgr-4/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-4.mp4
codepen-DrPkOq-vYKVwgr,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-vYKVwgr/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-vYKVwgr/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-vYKVwgr.mp4
codepen-DrPkOq-yLJJzOB,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-yLJJzOB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-DrPkOq-yLJJzOB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-yLJJzOB.mp4
codepen-XoYpMj-BmYGON,gemini,llama,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-XoYpMj-BmYGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/llama4_scout/20260422_044813_2fps/codepen-XoYpMj-BmYGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-XoYpMj-BmYGON.mp4
