name,model1_name,model2_name,model1_path,model2_path,ground_truth_path
codepen-AGomeO-xGwybB,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-xGwybB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-AGomeO-xGwybB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-xGwybB.mp4
codepen-AGomeO-zxypvL,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AGomeO-zxypvL/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-AGomeO-zxypvL/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-zxypvL.mp4
codepen-AvEZRv-mdzXpap,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-AvEZRv-mdzXpap/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-AvEZRv-mdzXpap/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AvEZRv-mdzXpap.mp4
codepen-DbqLwL-BxPgRB,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DbqLwL-BxPgRB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DbqLwL-BxPgRB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DbqLwL-BxPgRB.mp4
codepen-DrPkOq-ExKzwwX,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-ExKzwwX/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-ExKzwwX/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-ExKzwwX.mp4
codepen-DrPkOq-LYLYOYe,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-LYLYOYe/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-LYLYOYe/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-LYLYOYe.mp4
codepen-DrPkOq-MWWvRRR,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-MWWvRRR/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-MWWvRRR/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-MWWvRRR.mp4
codepen-DrPkOq-dyGdvmO,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-dyGdvmO/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-dyGdvmO/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-dyGdvmO.mp4
codepen-DrPkOq-dyPorwJ,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-dyPorwJ/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-dyPorwJ/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-dyPorwJ.mp4
codepen-DrPkOq-jOWMGON,gemini,qwen3vl,https://huggingface.co/datasets/anim2code/baselines/resolve/main/gemini/20260421_081639_2fps/codepen-DrPkOq-jOWMGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-jOWMGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-jOWMGON.mp4
