name,model1_name,model2_name,model1_path,model2_path,ground_truth_path
codepen-AGomeO-xGwybB,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-AGomeO-xGwybB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-AGomeO-xGwybB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-xGwybB.mp4
codepen-AGomeO-zxypvL,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-AGomeO-zxypvL/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-AGomeO-zxypvL/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AGomeO-zxypvL.mp4
codepen-AvEZRv-mdzXpap,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-AvEZRv-mdzXpap/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-AvEZRv-mdzXpap/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-AvEZRv-mdzXpap.mp4
codepen-DbqLwL-BxPgRB,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DbqLwL-BxPgRB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DbqLwL-BxPgRB/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DbqLwL-BxPgRB.mp4
codepen-DrPkOq-ExKzwwX,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-ExKzwwX/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-ExKzwwX/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-ExKzwwX.mp4
codepen-DrPkOq-LYLYOYe,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-LYLYOYe/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-LYLYOYe/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-LYLYOYe.mp4
codepen-DrPkOq-MWWvRRR,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-MWWvRRR/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-MWWvRRR/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-MWWvRRR.mp4
codepen-DrPkOq-dyGdvmO,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-dyGdvmO/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-dyGdvmO/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-dyGdvmO.mp4
codepen-DrPkOq-dyPorwJ,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-dyPorwJ/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-dyPorwJ/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-dyPorwJ.mp4
codepen-DrPkOq-jOWMGON,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-jOWMGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-jOWMGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-jOWMGON.mp4
codepen-DrPkOq-mdPjLGm,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-mdPjLGm/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-mdPjLGm/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-mdPjLGm.mp4
codepen-DrPkOq-poyOMgr-1,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-poyOMgr-1/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-poyOMgr-1/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-1.mp4
codepen-DrPkOq-poyOMgr-3,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-poyOMgr-3/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-poyOMgr-3/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-poyOMgr-3.mp4
codepen-DrPkOq-vYKVwgr,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-DrPkOq-vYKVwgr/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-DrPkOq-vYKVwgr/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-DrPkOq-vYKVwgr.mp4
codepen-XoYpMj-BmYGON,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-XoYpMj-BmYGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-XoYpMj-BmYGON/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-XoYpMj-BmYGON.mp4
codepen-XoYpMj-GRgqQqw,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-XoYpMj-GRgqQqw/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-XoYpMj-GRgqQqw/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-XoYpMj-GRgqQqw.mp4
codepen-XoYpMj-Jpwwxq-1,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-XoYpMj-Jpwwxq-1/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-XoYpMj-Jpwwxq-1/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-XoYpMj-Jpwwxq-1.mp4
codepen-XoYpMj-Jpwwxq-2,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-XoYpMj-Jpwwxq-2/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-XoYpMj-Jpwwxq-2/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-XoYpMj-Jpwwxq-2.mp4
codepen-XoYpMj-Jpwwxq-3,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-XoYpMj-Jpwwxq-3/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-XoYpMj-Jpwwxq-3/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-XoYpMj-Jpwwxq-3.mp4
codepen-XoYpMj-Jpwwxq-5,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-XoYpMj-Jpwwxq-5/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-XoYpMj-Jpwwxq-5/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-XoYpMj-Jpwwxq-5.mp4
codepen-XoYpMj-Jpwwxq-7,qwen3vl,claude,https://huggingface.co/datasets/anim2code/baselines/resolve/main/qwen3vl/20260421_071524_2fps/codepen-XoYpMj-Jpwwxq-7/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/claude_sonnet46/20260422_044812_2fps/codepen-XoYpMj-Jpwwxq-7/animation_30fps.mp4,https://huggingface.co/datasets/anim2code/baselines/resolve/main/ground_truth/codepen-XoYpMj-Jpwwxq-7.mp4
